Year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,135281,147377,129477,120078,123158,146626,123702,126703,137860,150006
Bulgaria,,,14103,18570,26615,25223,21241,25597,29559,37929
Czechia,48317,27114,34337,30124,29897,29602,64083,51847,65910,105888
Denmark,52236,52833,54409,60312,68388,78492,74383,68579,64669,61384
Germany,404055,489422,592175,692713,884893,1571047,1029852,917109,893886,886341
Estonia,2810,3709,2639,4109,3904,15413,14822,17616,17547,18259
Ireland,52339,57292,61324,65539,73519,80792,85185,78499,97712,85630
Greece,60462,60089,58200,57946,59013,64446,116867,112247,119489,129459
Spain,360705,371331,304053,280772,305454,342114,414746,532132,643684,750480
France,307111,319816,327431,338752,340383,364221,377709,369621,387158,385591
Croatia,8846,8534,8959,10378,10638,11706,13985,15553,26029,37726
Italy,458856,385793,350772,307454,277631,280078,300823,343440,332324,332778
Cyprus,20206,23037,17476,13149,9212,15183,17391,21306,23442,26170
Latvia,4011,10234,13303,8299,10365,9479,8345,9916,10909,11223
Lithuania,5213,15685,19843,22011,24294,22130,20162,20368,28914,40067
Luxembourg,16962,20268,20478,21098,22332,23803,22888,24379,24644,26668
Hungary,25519,28018,33702,38968,54581,58344,53618,68070,82937,88581
Malta,4275,5465,8256,10897,14454,16936,17051,21676,26444,28341
Netherlands,126776,130118,124566,129428,145323,166872,189232,189646,194306,215756
Austria,70978,82230,91557,101866,116262,166323,129509,111801,105633,109167
Poland,155131,157059,217546,220311,222275,218147,208302,209353,214083,226649
Portugal,27575,19667,14606,17554,19516,29896,29925,36639,43170,72725
Romania,149885,147685,167266,153646,136035,132795,137455,177435,172578,202422
Slovenia,15416,14083,15022,13871,13846,15420,16623,18808,28455,31319
Slovakia,5272,4829,5419,5149,5357,6997,7686,7188,7253,7016
Finland,25636,29481,31278,31941,31507,28746,34905,31797,31106,32758
Sweden,98801,96467,103059,115845,126966,134240,163005,144489,132602,115805
Iceland,3948,4073,4960,6406,5368,5635,8710,12116,11830,9872
Liechtenstein,591,650,671,696,615,657,607,645,649,727
Norway,69214,70337,69908,68313,66903,60816,61460,53351,47864,48680
Switzerland,161778,148799,149051,160157,156282,153627,149305,143377,144857,145129
United Kingdom,590950,566044,498040,526046,631991,631452,588993,644209,603953,680906
Montenegro,5749,6025,5727,5112,5353,4553,4904,6684,8643,10737
North Macedonia,1359,1464,1715,2050,1935,1741,2262,2064,2053,2118
